name,handedness,height,weight,avg,HR,BMI
Tom Brown,R,73,170,0,0,22.43
Denny Lemaster,R,73,182,0.13,4,24.01
Joe Nolan,L,71,175,0.263,27,24.40
Denny Doyle,L,69,175,0.25,16,25.84
Jose Cardenal,R,70,150,0.275,138,21.52
Mike Ryan,R,74,205,0.193,28,26.32
Fritz Peterson,B,72,185,0.159,2,25.09
Dick Bertell,R,72,200,0.25,10,27.12
Rod Kanehl,R,73,180,0.241,6,23.75
Ozzie Osborn,R,74,195,0,0,25.03
John LaRose,L,73,185,0,0,24.41
Jeff Byrd,R,75,195,0,0,24.37
Juan Bonilla,R,69,170,0.256,7,25.10
Frank Tepedino,L,71,185,0.241,6,25.80
Jerry Kutzler,L,73,175,0,0,23.09
Rick Wise,R,73,180,0.195,15,23.75
Darrell Evans,L,74,200,0.248,414,25.68
Buck Martinez,R,70,190,0.225,58,27.26
John Wockenfuss,R,72,190,0.262,86,25.77
Tommy McCraw,L,72,183,0.246,75,24.82
Jeff Barkley,B,75,185,0,0,23.12
Eric Wilkins,R,73,190,0,0,25.06
Britt Burns,L,77,215,0,0,25.49
Lee Lacy,R,73,175,0.286,91,23.09
Pete Rose,B,71,192,0.303,160,26.78
Danny Walton,R,72,195,0.223,28,26.44
Bobby Cox,R,71,180,0.225,9,25.10
Brad Wellman,R,72,170,0.231,6,23.05
Jeff Newman,R,74,215,0.224,63,27.60
Pedro Gonzalez,R,72,176,0.244,8,23.87
Nardi Contreras,B,74,193,0,0,24.78
Tommie Reynolds,R,74,190,0.226,12,24.39
Gene Clines,R,69,170,0.277,5,25.10
Jim Hickman,R,75,192,0.252,159,24.00
Jack Billingham,R,76,195,0.111,0,23.73
Jerry Buchek,R,71,185,0.22,22,25.80
Ivan DeJesus,R,71,175,0.254,21,24.40
Gary Nolan,R,74,197,0.138,1,25.29
Gil Patterson,R,73,185,0,0,24.41
Fred Whitfield,L,73,190,0.253,108,25.06
Larry Dierker,R,76,215,0.136,4,26.17
Dave Skaggs,R,74,200,0.241,3,25.68
Dick Ruthven,R,75,190,0.183,1,23.75
Jerry Garvin,L,75,195,0,0,24.37
Steve Eddy,R,74,185,0,0,23.75
Dave Kingman,R,78,210,0.236,442,24.27
Eric Soderholm,R,71,187,0.264,102,26.08
Kevin Mmahat,L,77,220,0,0,26.09
Ed Brinkman,R,72,170,0.224,60,23.05
Wayne Garrett,L,71,175,0.239,61,24.40
Tony Muser,L,74,180,0.259,7,23.11
Jim Siwy,R,76,200,0,0,24.34
Bud Anderson,R,75,210,0,0,26.25
Ted Ford,R,70,180,0.219,17,25.82
Kevin Stanfield,L,72,190,0,0,25.77
Jim Lyttle,L,72,180,0.248,9,24.41
John Butcher,R,76,185,0,0,22.52
Jerry Ujdur,R,73,195,0,0,25.72
